2026-04-23T16:40:11.255Z DEBUG 5284 --- [  restartedMain] o.s.boot.SpringApplication               : Loading source class p2p_node.P2pNodeApplication
         - @ConditionalOnMissingBean (types: org.springframework.web.servlet.view.BeanNameViewResolver; SearchStrategy: all) found beans of type 'org.springframework.web.servlet.view.BeanNameViewResolver' beanNameViewResolver (OnBeanCondition)

   WebMvcHealthEndpointExtensionAutoConfiguration:
      Did not match:
         - @ConditionalOnClass did not find required class 'org.springframework.boot.health.actuate.endpoint.HealthEndpoint' (OnClassCondition)

   WebMvcMappingsAutoConfiguration:
      Did not match:
         - @ConditionalOnClass did not find required class 'org.springframework.boot.actuate.autoconfigure.endpoint.condition.ConditionalOnAvailableEndpoint' (OnClassCondition)

   WebMvcObservationAutoConfiguration:
      Did not match:
         - @ConditionalOnClass did not find required class 'org.springframework.boot.micrometer.observation.autoconfigure.ObservationProperties' (OnClassCondition)


Exclusions:
-----------

    None


Unconditional classes:
----------------------

    org.springframework.boot.autoconfigure.context.ConfigurationPropertiesAutoConfiguration

    org.springframework.boot.autoconfigure.ssl.SslAutoConfiguration

    org.springframework.boot.autoconfigure.context.LifecycleAutoConfiguration

    org.springframework.boot.autoconfigure.context.PropertyPlaceholderAutoConfiguration

    org.springframework.boot.autoconfigure.availability.ApplicationAvailabilityAutoConfiguration

    org.springframework.boot.autoconfigure.info.ProjectInfoAutoConfiguration



2026-04-23T16:40:15.618Z  INFO 5284 --- [  restartedMain] p2p_node.P2pNodeApplication              : Started P2pNodeApplication in 5.501 seconds (process running for 7.134)
2026-04-23T16:40:15.621Z DEBUG 5284 --- [  restartedMain] o.s.b.a.ApplicationAvailabilityBean      : Application availability state LivenessState changed to CORRECT
2026-04-23T16:40:15.626Z DEBUG 5284 --- [  restartedMain] o.s.boot.devtools.restart.Restarter      : Creating new Restarter for thread Thread[#3,main,5,main]
2026-04-23T16:40:15.626Z DEBUG 5284 --- [  restartedMain] o.s.boot.devtools.restart.Restarter      : Immediately restarting application
2026-04-23T16:40:15.626Z DEBUG 5284 --- [  restartedMain] o.s.boot.devtools.restart.Restarter      : Starting application p2p_node.P2pNodeApplication with URLs [file:/C:/Users/mandi/Documents/docs%20master/p2p-file-transfer/Node%20B/target/classes/]
2026-04-23T16:40:15.627Z DEBUG 5284 --- [  restartedMain] o.s.b.a.ApplicationAvailabilityBean      : Application availability state ReadinessState changed to ACCEPTING_TRAFFIC
